"sv" "en"
"valmöjligheter" "options"
"specialistläkare" "specialist"
"läkare" "Doctor"
"beredningsarbete" "preparation work"
"patienterna" "patients"
"valmöjlighet" "option"
"landstingets" "County Council"
"finansiella" "financial"
"vårdgivare" "healthcare providers"
"kombineras" "combined"
"hälso" "health"
"sjukvårdslagen" "care Act"
"dränerar" "drain"
"sjukvårdens" "healthcare"
"upphöra" "cease"
"angrepp" "attack"
"yrkeskår" "profession"
"billigare" "cheaper"
"motverka" "counteract"
"patienten" "patient"
"återställarpolitik" "återställarpolitik"
"monopolet" "monopoly"
"kombinera" "combine"
"kallar" "call"
"privatläkare" "private doctor"
"specialområden" "special areas"
"överutbud" "oversupply"
"etableringar" "establishments"
"kombinerar" "combining"
"beredningsarbetet" "preparation work"
"specialistläkarna" "specialist doctors"
"etablerade" "legacy"
"specialisterna" "specialists"
"procentuellt" "percentage"
"återväxt" "regrowth"
"doktorer" "doctors"
"infria" "fulfill"
"stryper" "strangles"
"utbud" "range"
"huvudmannen" "principal"
"bådas" "heralded"
"sjukvårdsutredningen" "medical investigation"
"tillståndet" "state"
"effektiviseringar" "streamlining"
"kommitten" "Committee"
"hsu" "hsu"
"utforma" "design"
"utredningsarbete" "investigative work"
"påbörjats" "started"
"ingela" "ingela"
"thalen" "Thalen"
"härmed" "hereby"
"besvikna" "disappointed"
"bestörta" "distraught"
"helhetsgrepp" "holistic approach"
"oförklarligt" "inexplicable"
"frimodigt" "boldly"
"knäck" "butterscotch"
"snabb" "fast"
"kartläggning" "survey"
"snabbast" "fastest"
"påbörjades" "started"
"mandatperiodens" "term of office"
"inledning" "introduction"
"uppta" "occupy"
"skillnaderna" "differences"
"effektivitet" "efficiency"
"kapacitetsproblem" "capacity problems"
"avgränsning" "demarcation"
"slutresultatet" "end result"
"resursbehov" "resource"
"överväga" "consider"
"organiseras" "organized"
"sjuklighet" "morbidity"
"dödlighet" "mortality"
"åldrar" "ages"
"könen" "cone"
"utländska" "foreign"
"kostnadsminskningar" "cost"
"trott" "imagined"
"finansieringsfrågorna" "funding issues"
"bestämd" "determined"
"märkas" "labeled"
"avspeglas" "reflected"
"budgetproposition" "Budget Bill"
"avlämna" "deliver"
"orden" "words"
"skeptisk" "skeptical"
"inledningen" "the introduction"
"ståndpunkten" "position"
"marita_ulvskog" "Marita Ulvskog"
"hylla" "praise"
"prestationen" "performance"
"avslutande" "termination"
"tilläggsdirektiven" "additional directives"
"kristdemokrat" "Christian democrat"
"genomgripande" "thorough"
"förhindra" "prevent"
"utnyttjande" "exploitation"
"bostadsbidragssystemet" "housing scheme"
"länsrätten" "County Court"
"hallands" "Halland"
"bedömt" "estimated"
"enskild" "Individual"
"psykiska" "psychic"
"socialtjänstlagen" "social Services Act"
"bistånd" "assistance"
"bostadsbidrag" "housing"
"relaterat" "related"
"hyran" "the rent"
"hyresnivå" "rents"
"individuell" "Individual"
"behovsprövning" "means test"
"anger" "indicates"
"skälig_levnadsnivå" "reasonable standard of living"
"skälig" "reasonable"
"boendestandard" "living standard"
"beräkningen" "calculation"
"socialstyrelsen" "social Board"
"skäliga" "reasonable"
"bostadskostnader" "housing costs"
"utfärdat" "issued"
"rekommendationer" "recommendations"
"behovsprövningen" "means test"
"medicinska" "medical"
"varken" "neither"
"tillåtet" "allowed"
"socialminister" "Social Security"
"enskildes" "individuals"
"socialnämnden" "social Welfare Board"
"halmstad" "Halmstad"
"överklagat" "appealed"
"länsrättens" "county Administrative Court"
"kammarrätten" "Appeal"
"frågesvar" "query response"
"principfrågan" "the question of principle"
"reaktioner" "reactions"
"nöja" "settle"
"lägenheten" "apartment"
"passar" "fits"
"åberopades" "invoked"
"sökande" "applicant"
"läkarintyget" "medical certificate"
"tillräcklig" "enough"
"allmänläkare" "GPs"
"specialisering" "specialization"
"psykiatri" "psychiatry"
"överprövning" "appeal"
"socialnämndens" "social council"
"tvekan" "hesitation"
"tillrättaläggande" "corrective"
"personen" "person"
"domstolsutslag" "court ruling"
"nettokostnad" "Net expense"
"merkostnaden" "additional cost"
"prövningen" "examination"
"korrekta" "correct"
"tidningsuppgifterna" "Journal data"
"återgav" "recounted"
"domen" "judgment"
"bostaden" "dwelling"
"kvadratmeter" "square meter"
"frisk" "healthy"
"innebörden" "meaning"
"plågsamt" "painfully"
"belastade" "charged"
"stöter" "run"
"rättsmedvetandet" "legal consciousness"
"kammarrättens" "Administrative Court"
"dom" "judgment"
"zetterberg" "Zetterberg"
"föräldraföreningen" "parents association"
"plötslig_spädbarnsdöd" "Sudden Infant Death Syndrome"
"föreningen" "Association"
"erhållit" "obtained"
"arvsfonden" "inheritance Fund"
"utvecklings" "Guidance"
"anslog" "allocated"
"föreningens" "association"
"tillfällig" "temporary"
"socialutskottet" "social Committee"
"socialpolitik" "social policy"
"behandlat" "treated"
"begärs" "requested"
"handikapporganisationer" "disability"
"anslag" "appropriation"
"höstens" "autumn"
"budgetberedning" "budget preparation"
"inleda" "initiate"
"bedriver" "conducts"
"mist" "mist"
"spädbarn" "infant"
"vanligaste" "most common"
"dödsorsaken" "cause of death"
"allvarlig" "serious"
"bedrivit" "conducted"
"knappa" "scarce"
"förebyggande" "prevention"
"akut" "acute"
"förening" "Association"
"räddning" "rescue"
"avbryts" "interrupted"
"väntan" "waiting"
"långsiktiga" "term"
"initiativet" "initiative"
"näringslivsråd" "Business Council"
"namnet" "name"
"rådgivande" "advisory"
"organ" "organ"
"slutliga" "final"
"energiförsörjningen" "energy supply"
"svårigheten" "difficulty"
"organisationernas" "organizations"
"sortens" "type"
"föranlett" "caused"
"könberg" "könberg"
"tankegångar" "thoughts"
"folkhälsoinstitutet" "Public health Institute"
"svårlösta" "intractable"
"partigränserna" "party lines"
"socialutskottets" "social Committee"
"engagerade" "dedicated"
"övertygade" "confident"
"inordna" "conform"
"hjälper" "shows"
"förebygger" "prevent"
"dödsfall" "death"
"småbarn" "small children"
"hyggligt" "decently"
"anslutning" "connection"
"budgetberedningen" "budget preparation"
"återuppstå" "resurrected"
"förloras" "lost"
"tempo" "tempo"
"thalens" "thalens"
"bråttom" "in a hurry"
"återta" "recapture"
"löntagarfonderna" "wage-earner"
"ordinarie" "ordinary"
"forskningsanslagen" "research grants"
"framgått" "appeared"
"inlett" "initiated"
"återföra" "return"
"löntagarfondsmedlen" "employee funds"
"stiftelsernas" "foundations"
"analyserna" "assays"
"forskningsområden" "research"
"stiftelserna" "foundations"
"avsedda" "intended"
"omfattningen" "extent"
"forskningsanslag" "research grants"
"tham" "tham"
"avvecklande" "phasing out"
"överförande" "transmitting"
"förbättrade" "improved"
"bildats" "formed"
"stiftelser" "foundations"
"sysslar" "engaged"
"forskarutbildning" "graduate"
"stiftelse" "foundation"
"humanistisk" "humanistic"
"samhällsvetenskaplig" "social science"
"strategisk" "strategic"
"miljöstrategisk" "strategic environmental"
"miljöanpassad" "environmentally friendly"
"samhällsutveckling" "community development"
"oroade" "worried"
"thams" "Thams"
"skära" "cut"
"nytillträdd" "newly appointed"
"forskningscentrum" "research center"
"principiellt" "principle"
"forskningsområdet" "research"
"principiell" "fundamental"
"olämpligt" "unsuitable"
"binder" "bind"
"riksdagsmajoriteter" "parliamentary majorities"
"återspeglar" "reflects"
"folkmajoritetens" "majority of the people"
"aspekten" "aspect"
"skakig" "shaky"
"statsfinansiellt" "fiscally"
"elände" "misery"
"överföra" "transfer"
"reflektera" "reflect"
"betänkligt" "precariously"
"trängt" "permeated"
"prioriteringar" "priorities"
"önskade" "desired"
"upplösning" "resolution"
"fonder" "funds"
"avvaktar" "awaiting"
"låsa" "lock"
"åtkomliga" "accessible"
"styrning" "steering"
"konstigare" "weirder"
"inkonsekvent" "inconsistent"
"haglar" "hails"
"oroliga" "worried"
"miljöstrategiska" "environmental Strategies"
"bankrutt" "bankrupt"
"ofrånkomligen" "inevitably"
"tänkbara" "possible"
"låst" "locked"
"utdelningar" "dividends"
"uppgå" "amount"
"forskningsfrågorna" "research questions"
"prioriteringen" "priority"
"åstadkom" "produced"
"nedskärningarna" "cuts"
"obesvarade" "unanswered"
"oklarheten" "uncertainty"
"gröna" "green"
"stommen" "body"
"domineras" "dominated"
"storföretagare" "large business"
"initiativkraft" "initiative"
"massmedierna" "the media"
"bevista" "attend"
"befara" "fear"
"slutna" "closed"
"energifrågor" "energy issues"
"efterlämnat" "after leaving"
"jättelikt" "enormous"
"konst" "art"
"saldot" "balance"
"lugna" "calm"
"höstriksdagen" "autumn Parliament"
"kvalificerad" "qualified"
"kvarvarande" "remaining"
"forskningsstiftelserna" "research foundations"
"omedveten" "unaware"
"besparingsbeting" "saving condition"
"devalverats" "devalued"
"devalveras" "devalued"
"betjänt" "valet"
"forskningens" "research"
"anvisningar" "instructions"
"värderingen" "valuation"
"folkhögskolor" "high schools"
"antagning" "admission"
"bengt_silfverstrand" "Bengt Silfverstrand"
"antagningsreglerna" "admission rules"
"högskoleutbildning" "higher education"
"avsikten" "intent"
"universitets" "University"
"högskolereform" "Higher Education reform"
"studenten" "student"
"självständighet" "Independence"
"studievägar" "study paths"
"förändringen" "change"
"antagningssystemet" "admissions"
"rekryteringen" "recruitment"
"lärosätet" "university"
"erfarit" "experienced"
"gymnasieutbildning" "high school"
"värderas" "measured"
"folkhögskola" "college"
"värderats" "measured"
"överblickbart" "transparent"
"förhindrar" "prevent"
"utredarens" "the investigator"
"planerna" "plans"
"sommaren" "summer"
"dagarna" "d"
"inlämnats" "filed"
"delrapport" "interim Report"
"överblickbara" "transparent"
"studenternas" "students"
"rättssäkerhet" "rule of law"
"vunnits" "won"
"vårterminen" "spring term"
"rått" "rat"
"förvirring" "confusion"
"antagningsregler" "admission rules"
"kurserna" "the courses"
"svårhanterligt" "cumbersome"
"överblicka" "overview"
"rättssäkerheten" "legal security"
"ifrågasättas" "questioned"
"bottnar" "bottoms"
"antagningen" "admissions"
"antagningarna" "student admission"
"personalen" "the staff"
"folkhögskolorna" "high schools"
"reservation" "reservation"
"lättnad" "relief"
"decentraliseringen" "decentralization"
"inleddes" "initiated"
"studenterna" "students"
"experimenterande" "experimentation"
"frihetens" "freedom"
"valfrihetens" "freedom of choice"
"konstateras" "found"
"försvagning" "weakening"
"urholkad" "hollowed"
"examination" "examination"
"resursfördelning" "resource allocation"
"eftertanke" "reflection"
"sålunda" "thus"
"förmenar" "withheld"
"studiemotiverade" "motivated to study"
"högskolenivå" "university"
"åldersgränser" "age limits"
"begränsa" "limit"
"behörigheten" "jurisdiction"
"utestängs" "excluded"
"förkunskaper" "previous knowledge"
"vuxenutbildning" "adult education"
"omdömen" "reviews"
"degraderas" "demoted"
"advokat" "lawyer"
"domare" "Judge"
"utestängd" "locked"
"studiemöjligheter" "study opportunities"
"elitistiska" "elitist"
"synsätt" "approach"
"tränga" "permeate"
"högskolesystemet" "higher education"
"förlängningen" "extension"
"absurda" "absurdity"
"föresvävat" "unblemished"
"tillskyndare" "Promoter"
"införskaffat" "acquired"
"välkommet" "welcome"
"utbildningsminister" "Education Minister"
"hunnit" "had time"
"träffa" "hit"
"sveriges_förenade_studentkårer" "National Students Union"
"uppfattades" "perceived"
"djungel" "jungle"
"lägesrapport" "progress report"
"rut" "Rut"
"försiktigt" "gently"
"systemen" "systems"
"oklart" "unclear"
"tyder" "indicates"
"uttryckt" "expressed"
"sinkadus" "Sinkadus"
"sökt" "searched"
"tilläggsdirektiv" "supplementary directive"
"forcerar" "overrides"
"likväl" "nevertheless"
"tidigast" "earliest"
"insikt" "insight"
"sammelsurium" "bits and pieces"
"betona" "emphasize"
"antagningssystem" "admission system"
"snedrekryteringen" "uneven recruitment"
"tydliggör" "clarifies"
"sydligare" "southerly"
"universitetet" "University"
"utgångspunkter" "starting points"
"likvärdigheten" "equivalence"
"kortsiktiga" "short"
"perspektivet" "term"
"experimentera" "experiment"
"tidningsintervju" "newspaper interview"
"resurstilldelningssystemet" "resource allocation system"
"prestationer" "accomplishments"
"påpekats" "observed"
"kvalitetskrav" "quality"
"dan" "dan"
"huvuduppgifter" "The main tasks"
"fortlöpande" "continuous"
"rapportera" "Report"
"kompetensen" "competence"
"forskare" "researcher"
"medverkar" "involved"
"grundutbildningen" "undergraduate"
"entusiasmera" "enthuse"
"studierna" "studies"
"gudrun_schyman" "Schyman"
"jas" "jas"
"försvarspolitiken" "defense policy"
"kostnadsbilden" "cost picture"
"oplanerade" "unplanned"
"kostnadsökningar" "cost"
"statsmakternas" "government authorities"
"tillverka" "manufacture"
"stridsflygplan" "fighter jets"
"gripen" "arrested"
"flygplan" "aircraft"
"motsvarar" "corresponds"
"flygdivisioner" "air divisions"
"bemyndigande" "authorization"
"försvarets_materielverk" "Defence Materiel Administration"
"tecknat" "characterized"
"produktion" "production"
"flygplanen" "aircraft"
"ingåtts" "concluded"
"oroad" "worried"
"förseningar" "delay"
"hejdas" "rectified"
"totalförsvarsbeslut" "total defense decision"
"angavs" "stated"
"militära" "military"
"försvaret" "defense"
"förberedelserna" "preparation"
"studeras" "studied"
"flygvapnet" "air Force"
"divisioner" "divisions"
"anskaffningen" "acquisition"
"storleken" "size"
"anskaffning" "acquisition"
"korta" "short"
"övergår" "released"
"gudrun_schymans" "Gudrun Schyman"
"sägas" "said"
"försvarsutskott" "Armed Services committee"
"uppföljande" "follow up"
"formell" "formal"
"tillgodosedd" "unmet"
"försvarsutskottet" "Defence Committee"
"debatter" "debates"
"skingra" "dispel"
"kontroll" "Control"
"tillträdde" "took"
"försvarsminister" "Defense Minister"
"ägnats" "devoted"
"strävan" "quest"
"eftertryck" "emphasis"
"försvarspolitik" "defense policy"
"konstitution" "constitution"
"beslutas" "determined"
"försvarsmakten" "Defence forces"
"huvudansvaret" "main responsibility"
"styrningen" "control"
"utövar" "exercising"
"försvarsmaktens" "Defence Forces"
"årliga" "annual"
"materielverket" "materiel"
"omgående" "immediately"
"uteslutande" "exclusively"
"producera" "produce"
"industrin" "industry"
"självklarhet" "obvious"
"likhet" "similarity"
"kostnadsutvecklingen" "costs"
"fördyringarna" "dearth hire"
"svarta" "black"
"nedlagda" "closures"
"total" "total"
"totalkostnaden" "the total cost"
"fördyring" "dearth"
"valutakursförändringar" "exchange rate fluctuations"
"föregick" "preceded"
"framhölls" "highlighted"
"styras" "controlled"
"kontrolleras" "controlled"
"instämde" "concurred"
"propositionens" "bill"
"kraftfull" "powerful"
"prestanda" "performance"
"uttalades" "was pronounced"
"utöva" "exercise"
"möda" "effort"
"inbegripet" "including"
"försvarsdepartementet" "Department of defense"
"förklara" "explain"
"redovisningen" "accounting"
"kopplad" "coupled"
"haveriet" "wreckage"
"förmågan" "the ability"
"fastställda" "fixed"
"inhämtat" "obtained"
"redovisades" "reported"
"åtgärdsprogram" "action"
"äventyra" "jeopardize"
"flygplanet" "aircraft"
"uttryckligen" "expressly"
"framhållit" "highlighted"
"färdigställas" "completed"
"försvarets" "defense"
"exporteras" "exported"
"framtidstron" "confidence"
"nationen" "nation"
"beröra" "touch"
"chris_heister" "Chris Heister"
"tidsaspekten" "timing"
"genomfördes" "was performed"
"täckte" "covered"
"spannet" "range"
"upphandlingen" "procurement"
"upphandlaren" "procurer"
"fält" "field"
"däremellan" "in between"
"motsatsförhållande" "opposition"
"samverka" "cooperate"
"socialstyrelsens" "National Board"
"tillsyn" "supervision"
"ackreditering" "accreditation"
"kontrollsystem" "control"
"inblandade" "involved"
"kvalitetstänkande" "quality awareness"
"vardagen" "everyday"
"vardagsarbetet" "everyday work"
"swedac" "SWEDAC"
"statssekreterarens" "State Secretary"
"föredragning" "presentation"
"prövade" "tested"
"förberedelsen" "preparation"
"neutral" "neutral"
"huvudman" "principal"
"klarhet" "clarity"
"utförd" "performed"
"uppställda" "set"
"styrka" "strength"
"normer" "standards"
"tyckt" "like"
"betydelsefullt" "important"
"kvalitetsarbetet" "quality work"
"utför" "performing"
"behövt" "had"
"externa" "external"
"insåg" "realized"
"granskar" "examines"
"revisorer" "accountants"
"avloppsvatten" "sewage"
"väntas" "expected"
"remiss" "referral"
"hygglig" "decent"
"remissarbetet" "consultation:"
"kortare" "shorter"
"remissbehandling" "referral treatment"
"bearbetar" "tool"
"verksamhetstillsyn" "regulatory activity"
"kommentarer" "comments"
"tidningarna" "papers"
"tyda" "indicate"
"samverkan" "cooperation"
"orättvist" "unfairly"
"föreskrift" "regulation"
"medicinskt" "medical"
"utbildad" "educated"
"laboratorier" "Laboratories"
"stärker" "reinforces"
"laboratorierna" "laboratories"
"vårdcentraler" "health centers"
"uppenbara" "obvious"
"utanförstående" "outsider"
"kvalitetssäkringsarbetet" "quality assurance work"
"medicinalstyrelse" "Medical Board"
"vetenskapliga" "scientific"
"kvalitets" "quality"
"förblir" "remains"
"drastiskt" "drastically"
"polemisera" "polemicize"
"formalia" "formalities"
"tolkas" "interpreted"
"instansen" "body"
"hälsooch" "hälsooch"
"strategier" "strategies"
"adekvat" "adequate"
"legitimerad" "legitimized"
"förstärkt" "reinforced"
"gudrun_lindvall" "Gudrun Lindvall"
"opartiska" "Fairness"
"mkb" "EIA"
"föregår" "prior"
"ovan" "above"
"beskrivits" "described"
"vägverkets" "the SRA"
"kultur" "culture"
"naturvärden" "natural values"
"spolieras" "blighted"
"vägbygge" "road construction"
"tak" "ceiling"
"beskrivna" "described"
"mölnbo" "Mölnbo"
"myndighetsuppgift" "official task"
"arbetsplanen" "work plan"
"hamna" "end"
"eventuell" "eventual"
"gudrun_lindvalls" "Gudrun Lindvall"
"miljökonsekvensbeskrivningar" "environmental impact Assessment"
"enklast" "easiest"
"besvaras" "answer"
"väglagen" "the Roads"
"miljökonsekvensbeskrivning" "EIA"
"upprättas" "prepared"
"överensstämmelse" "conformity"
"opartisk" "impartial"
"konsulter" "Consultants"
"upprättad" "prepared"
"angivet" "given"
"fogas" "added"
"godkännas" "approved"
"planeringsprocess" "planning process"
"upprättandet" "establishing"
"reglerad" "regulated"
"planeringen" "planning"
"skeden" "stages"
"detaljeringsgraden" "the degree of detail"
"detaljerat" "detail"
"allteftersom" "as"
"framskrider" "progresses"
"planeringsprocessen" "planning"
"reglerade" "regulated"
"miljöeffekterna" "environmental effects"
"huvudalternativ" "main options"
"skede" "phase"
"ombyggnad" "Reconstruction"
"landskapet" "landscape"
"barriärer" "barriers"
"vägsträckor" "itineraries"
"intrång" "infringement"
"natur" "nature"
"kulturmiljöer" "cultural environments"
"ödmjuka" "humble"
"lyssnande" "listening"
"dialog" "dialogue"
"promenader" "walks"
"utflykter" "trips"
"planeras" "planned"
"avkall" "sacrifice"
"kulturmiljön" "cultural environment"
"tillgodoses" "met"
"naturresurslagen" "natural Resources Act"
"möjliggör" "enable"
"tilltänkt" "prospective"
"prövande" "trying"
"sakägare" "interested parties"
"kulturvärden" "cultural values"
"besvarat" "answer"
"interpellationen" "interpellation"
"variation" "variation"
"varierar" "varies"
"avgränsa" "define"
"broar" "bridges"
"passera" "Pass"
"vattendrag" "streams"
"faktorer" "factors"
"vägsträckning" "stretch of road"
"väljas" "selected"
"sammanfattningsvis" "sum"
"berörd" "affected"
"tillämpliga" "mutatis"
"anledningar" "reasons"
"vägsträckan" "route"
"agerat" "acted"
"klämt" "pinched"
"södertälje" "södertälje"
"kritiserats" "criticized"
"informellt" "informal"
"handledningen" "tutorial"
"tidiga" "early"
"stadium" "stage"
"miljöråd" "environmental council"
"nils" "nils"
"kontroversiell" "controversial"
"bullret" "noise"
"hanterats" "handled"
"miljöaspekterna" "environmental"
"tungt" "heavy"
"miljökonsekvensbeskrivningen" "EIA"
"vägprojekt" "road projects"
"fälla" "trap"
"utslaget" "verdict"
"vägsträckningen" "road section"
"odlingslandskap" "farmland"
"riksintresse" "national interest"
"gammal" "old"
"kulturbygd" "cultural traditions"
"markerat" "selected"
"överallt" "everywhere"
"sörmlands" "Sörmlands"
"renaste" "cleanest"
"sjöar" "lakes"
"föregångare" "precursor"
"används" "used"
"dricksvattentäkt" "drinking water"
"förståelse" "understanding"
"myndighetsprövning" "official examination"
"hanteringen" "treatment"
"sällsynt" "rare"
"olycklig" "unhappy"
"uppskattning" "estimate"
"beröras" "affected"
"förvisso" "certainly"
"behållas" "retained"
"jord" "earth"
"skilt" "separate"
"formella" "formal"
"realiteten" "positive"
"reella" "real"
"undrande" "wondering"
"delmoment" "Parts"
"yttrar" "utters"
"händelser" "events"
"departementets" "Department"
"hanteringsordningen" "Procedure management"
"interpellanterna" "interpellations States"
"faktor" "factor"
"trafiksäkerhet" "safety"
"kommunikationsdepartementet" "Department of communications"
"korridor" "corridor"
"miljökonsekvenserna" "environmental impact"
"fastslagit" "established"
"placeringen" "location"
"miljöbalken" "environmental Code"
"planoch" "planoch"
"bygglagen" "building Act"
"fullföljt" "completed"
"miljöinriktad" "environmental friendly"
"alternativen" "options"
"vettig" "sensible"
"föregått" "preceded"
"geografiskt" "geographically"
"korridoren" "hallway"
"ledande" "leading"
"miljöjurister" "environmental lawyers"
"direktivet" "Directive"
"miljökonsekvensbeskrivningarna" "EIAs"
"informella" "informal"
"låser" "lock"
"beslutsunderlaget" "decision data"
"märkliga" "remarkable"
"tunnel" "tunnel"
"bullerproblem" "noise problems"
"huddinge" "Huddinge"
"ekerö" "ekerö"
"tunnelalternativet" "tunnel option"
"myndighetsfråga" "authority issue"
"myndighetsrollen" "authority role"
"försvunnit" "disappeared"
"försvarsministern" "defense Minister"
"framtidstro" "belief in the future"
"kvalificerade" "qualifying"
"genomgående" "through"
"instabilt" "unstable"
"milt" "mildly"
"instabil" "unstable"
"stabilt" "stable"
"makten" "power"
"intressegemenskap" "privity"
"politikerna" "politicians"
"utmärkta" "excellent"
"exportprodukter" "export products"
"gökunge" "cuckoo"
"drömma" "dream"
"eländet" "misery"
"heter" "called"
"rätteligen" "rightfully"
"styr" "control"
"utformning" "configuration"
"näppeligen" "hardly"
"motivera" "motivate"
"åter" "re"
"ratt" "steering wheel"
"lämplig" "suitable"
"huvudpoängen" "the main point"
"interpellation" "interpellation"
"demokratifrågan" "of democracy"
"indignerat" "indignantly"
"insynen" "transparency"
"genomlysande" "translucent"
"artiklar" "articles"
"bristen" "lack"
"slående" "striking"
"särklass" "far"
"industriprojekt" "industrial projects"
"egentlig" "real"
"delserie" "subseries"
"anstränga" "effort"
"export" "export"
"revision" "audit"
"lagom" "moderate"
"försvarsbeslut" "defense policy"
"låses" "locked"
"kakan" "cake"
"berätta" "tell"
"globe" "Globe"
"miljöfrågor" "environmental issues"
"temat" "theme"
"miljöinformation" "environmental information"
"framme" "in front"
"attraktiva" "attractive"
"förberedande" "preparatory"
"stegen" "steps"
"aktörerna" "operators"
"kört" "run"
"ljuv" "delightful"
"musik" "music"
"glädja" "delight"
"miljöbalk" "environmental Code"
"drogs" "was"
"användning" "use"
"balken" "beam"
"upphäva" "repeal"
"underbyggt" "substantiated"
"upphäver" "abolishes"
"arbetsplaner" "workplans"
"förekommit" "occurred"
"råda" "advise"
"åkt" "skiing"
"kassor" "treasuries"
"posten" "sent"
"korridorer" "corridors"
"finessen" "finesse"
"snävar" "narrows"
"förbifarter" "bypasses"
"nordligt" "northern"
"dumt" "foolish"
"undgå" "avoid"
"arkeologiska_utgrävningar" "archaeological excavations"
"firma" "company"
"expert" "expert"
"tunnlar" "tunnels"
"osäker" "uncertain"
"uträkningen" "calculation"
"boplatser" "settlements"
"marken" "the ground"
"kalk" "lime"
"kalkbrott" "limestone quarry"
"unik" "unique"
"flora_och_fauna" "flora and fauna"
"växter" "plants"
"berggrunden" "bedrock"
"förskonad" "spared"
"fjärilar" "butterflies"
"insekter" "insects"
"rikt" "target"
"biologiskt" "biologically"
"djur" "animal"
"växtlivet" "plant life"
"utsläpp" "emissions"
"kväveoxider" "nitrogen oxides"
"övergödning" "overfertilization"
"värden" "values"
"faunan" "fauna"
"miljöer" "environments"
"hotade" "endangered"
"arterna" "species"
"vrida" "turn"
"igen" "again"
"uppvaktning" "courtship"
"aktiva" "active"
"möttes" "met"
"vädjar" "appeal"
"stämma" "meeting"
"naturskyddsföreningen" "nature conservation"
"talas" "spoken"
"hantering" "management"
"positivare" "positive"
"seriöst" "seriously"
"verk" "work"
"kulturrevolution" "cultural revolution"
"oljetanker" "oil tanker"
"vändningen" "turnaround"
"lars" "lars"
"tobisson" "Tobisson"
"processens" "process"
"emuandra" "emuandra"
"övergången" "transition"
"ljuset" "light"
"fördraget" "Treaty"
"klargjordes" "clarified"
"konvergenskriterierna" "convergence criteria"
"konsolidera" "consolidate"
"uppfyllas" "met"
"kriterierna" "criteria"
"känneteckna" "characterized"
"färdriktning" "direction of travel"
"fastlagts" "been determined"
"understrykas" "underlined"
"utformningen" "formulation"
"konvergensprogrammet" "convergence Programme"
"framförts" "forward"
"kännetecken" "sign"
"inbjudit" "invited"
"riksdagspartier" "parliamentary parties"
"partiledaröverläggningar" "party leader talks"
"utarbetandet" "preparation"
"innehålla" "contain"
"konvergensprogram" "convergence Programme"
"sommar" "summer"
"övergång" "transition"
"försenas" "delayed"
"förberedelsearbete" "preparatory work"
"förberedelsearbetet" "preparatory work"
"ekofinrådet" "Ecofin Council"
"tidsplanen" "timetable"
"valuta" "currency"
"grönbok" "Green Paper"
"utseende" "appearance"
"riksbank" "Governor"
"euarbete" "euarbete"
"undertecknat" "signed"
"european" "european"
"emi" "emi"
"förbereder" "preparing"
"förfaranden" "procedures"
"föras" "be"
"hit" "here"
"anpassningen" "adjustment"
"maastrichtfördragets" "Maastricht"
"förbjuds" "prohibits"
"riksbanksutredningen" "Governor investigation"
"riksbankschefens" "Governor&#39;s"
"grundlagsändring" "constitutional amendment"
"inledas" "start"
"hysa" "house"
"dröjsmålet" "delay"
"fastslår" "states"
"konstaterandet" "finding"
"uppsatta" "set"
"bry" "bother"
"partiledaröverläggningarna" "party leaders deliberations"
"fredags" "Friday"
"omsvängning" "reversal"
"höstas" "Last fall"
"programmets" "program"
"meddelar" "announces"
"planerar" "planning"
"riksbankens" "riksbank"
"behandlades" "treated"
"tilltron" "to the throne"
"beslutsamheten" "determination"
"förutspå" "predict"
"duger" "good enough"
"förbehållet" "proviso"
"förelägga" "submit"
"påstår" "states"
"oproblematiskt" "unproblematic"
"fungera" "work"
"prisjämförelser" "price comparisons"
"transaktionskostnaderna" "transaction costs"
"trovärdig" "credible"
"nord" "North"
"mellaneuropa" "Central europe"
"likartad" "similar"
"struktur" "structure"
"optimalt_valutaområde" "optimal currency area"
"arbetskraftens" "workforce"
"rörlighet" "mobility"
"yrkes" "occupational"
"lönemässigt" "in terms of pay"
"naturligt" "natural"
"ofrånkomligt" "inescapable"
"språkliga" "linguistic"
"kulturella" "cultural"
"hörn" "corner"
"fördelarna" "benefits"
"inses" "appreciated"
"betänker" "considering"
"valutan" "currency"
"obalanserna" "imbalances"
"tjäna" "serve"
"devalvera" "devalue"
"bittra" "bitter"
"disciplin" "discipline"
"anpassningsförmåga" "adaptability"
"arbetslivet" "working life"
"upprepar" "repeat"
"jämförelse" "comparison"
"studie" "study"
"nato" "nato"
"vänsterpartiet" "Left"
"framtoning" "image"
"euomröstningen" "euomröstningen"
"anhängarna" "followers"
"realitet" "reality"
"ponera" "the pitch"
"euparlamentariker" "euparlamentariker"
"betraktar" "considers"
"skämt" "joke"
"övertyga" "convince"
"regeringspartiets" "ruling party"
"välformulerade" "articulate"
"lämnades" "was"
"jan" "January"
"bergqvist" "bergqvist"
"anita_gradin" "Gradin"
"trovärdigheten" "credibility"
"frigöras" "released"
"karaktären" "character"
"monetaristiska" "monetarist"
"förskräcka" "terrify"
"benhårda" "adamant"
"låsningen" "lock"
"erm" "erm"
"framstående" "eminent"
"ekonomer" "economists"
"avvisat" "rejected"
"johan" "Johan"
"lönnroth" "Lönnroth"
"partipolitiska" "party political"
"övertolkar" "of interpreters"
"understruket" "underlined"
"tobissons" "tobissons"
"ställningstagandet" "stance"
